point,date,pred_TimeGPT,date_original_timegpt
point351,2020-01-13,0.414159,2020-01-13
point351,2020-01-28,0.40546533,2020-01-28
point351,2020-02-12,0.399652,2020-02-12
point351,2020-02-27,0.39137787,2020-02-27
point351,2020-03-13,0.3824016,2020-03-13
point351,2020-03-28,0.37530905,2020-03-28
point351,2020-04-12,0.3733212,2020-04-12
point351,2020-04-27,0.36730102,2020-04-27
point351,2020-05-12,0.3623699,2020-05-12
point351,2020-05-27,0.36009872,2020-05-27
point351,2020-06-11,0.36069584,2020-06-11
point351,2020-06-26,0.36250475,2020-06-26
point351,2020-07-11,0.36472636,2020-07-11
point351,2020-07-26,0.36558244,2020-07-26
point351,2020-08-10,0.37409455,2020-08-10
point351,2020-08-25,0.37811273,2020-08-25
point351,2020-09-09,0.38260734,2020-09-09
point351,2020-09-24,0.38769764,2020-09-24
point351,2020-10-09,0.39315513,2020-10-09
point351,2020-10-24,0.39305815,2020-10-24
point351,2020-11-08,0.38914287,2020-11-08
point351,2020-11-23,0.3897921,2020-11-23
point351,2020-12-08,0.39023325,2020-12-08
point351,2020-12-23,0.39053175,2020-12-23
point351,2021-01-07,0.39048505,2021-01-07
point351,2021-01-22,0.3906543,2021-01-22
point351,2021-02-06,0.39004457,2021-02-06
point351,2021-02-21,0.3890954,2021-02-21
point351,2021-03-08,0.38742223,2021-03-08
point351,2021-03-23,0.3852396,2021-03-23
point351,2021-04-07,0.38261586,2021-04-07
point351,2021-04-22,0.38126653,2021-04-22
point351,2021-05-07,0.37998977,2021-05-07
point351,2021-05-22,0.37909493,2021-05-22
point351,2021-06-06,0.380135,2021-06-06
point351,2021-06-21,0.38108653,2021-06-21
point351,2021-07-06,0.38118553,2021-07-06
point351,2021-07-21,0.38204816,2021-07-21
point351,2021-08-05,0.3839849,2021-08-05
point351,2021-08-20,0.38594562,2021-08-20
point351,2021-09-04,0.38628596,2021-09-04
point351,2021-09-19,0.38585413,2021-09-19
point351,2021-10-04,0.3871695,2021-10-04
point351,2021-10-19,0.38844463,2021-10-19
point351,2021-11-03,0.3890821,2021-11-03
point351,2021-11-18,0.38957128,2021-11-18
point351,2021-12-03,0.39041498,2021-12-03
point351,2021-12-18,0.39002204,2021-12-18
point351,2022-01-02,0.38887918,2022-01-02
point351,2022-01-17,0.3880985,2022-01-17
point351,2022-02-01,0.3871695,2022-02-01
point351,2022-02-16,0.38631934,2022-02-16
point351,2022-03-03,0.3856147,2022-03-03
point351,2022-03-18,0.38489679,2022-03-18
point351,2022-04-02,0.38429072,2022-04-02
point351,2022-04-17,0.3842211,2022-04-17
point351,2022-05-02,0.38410088,2022-05-02
point351,2022-05-17,0.3838535,2022-05-17
point351,2022-06-01,0.383889,2022-06-01
point351,2022-06-16,0.38422987,2022-06-16
point351,2022-07-01,0.3845986,2022-07-01
point351,2022-07-16,0.3847271,2022-07-16
point351,2022-07-31,0.38480046,2022-07-31
point351,2022-08-15,0.3852913,2022-08-15
point351,2022-08-30,0.38595784,2022-08-30
point351,2022-09-14,0.38646582,2022-09-14
point351,2022-09-29,0.38700944,2022-09-29
point351,2022-10-14,0.3875956,2022-10-14
point351,2022-10-29,0.387319,2022-10-29
point351,2022-11-13,0.38657475,2022-11-13
point351,2022-11-28,0.3864511,2022-11-28
point351,2022-12-13,0.38647702,2022-12-13
point351,2022-12-28,0.38654843,2022-12-28
point351,2023-01-12,0.38657832,2023-01-12
point351,2023-01-27,0.3865344,2023-01-27
point351,2023-02-11,0.38628635,2023-02-11
