point,date,pred_TimeGPT,date_original_timegpt
point551,2020-01-13,0.6819831,2020-01-13
point551,2020-01-28,0.6790261,2020-01-28
point551,2020-02-12,0.6751272,2020-02-12
point551,2020-02-27,0.6705501,2020-02-27
point551,2020-03-13,0.6679339,2020-03-13
point551,2020-03-28,0.66586316,2020-03-28
point551,2020-04-12,0.6663515,2020-04-12
point551,2020-04-27,0.66451615,2020-04-27
point551,2020-05-12,0.66225314,2020-05-12
point551,2020-05-27,0.6608103,2020-05-27
point551,2020-06-11,0.660304,2020-06-11
point551,2020-06-26,0.6618422,2020-06-26
point551,2020-07-11,0.66342217,2020-07-11
point551,2020-07-26,0.66416717,2020-07-26
point551,2020-08-10,0.6689708,2020-08-10
point551,2020-08-25,0.6701643,2020-08-25
point551,2020-09-09,0.6717493,2020-09-09
point551,2020-09-24,0.67434996,2020-09-24
point551,2020-10-09,0.6772846,2020-10-09
point551,2020-10-24,0.67722803,2020-10-24
point551,2020-11-08,0.6760632,2020-11-08
point551,2020-11-23,0.6755146,2020-11-23
point551,2020-12-08,0.6763903,2020-12-08
point551,2020-12-23,0.6769333,2020-12-23
point551,2021-01-07,0.6771654,2021-01-07
point551,2021-01-22,0.6773125,2021-01-22
point551,2021-02-06,0.67663646,2021-02-06
point551,2021-02-21,0.6752629,2021-02-21
point551,2021-03-08,0.6744468,2021-03-08
point551,2021-03-23,0.67309433,2021-03-23
point551,2021-04-07,0.671406,2021-04-07
point551,2021-04-22,0.6704343,2021-04-22
point551,2021-05-07,0.67006564,2021-05-07
point551,2021-05-22,0.6697533,2021-05-22
point551,2021-06-06,0.66983736,2021-06-06
point551,2021-06-21,0.67046773,2021-06-21
point551,2021-07-06,0.67029154,2021-07-06
point551,2021-07-21,0.6706858,2021-07-21
point551,2021-08-05,0.6716849,2021-08-05
point551,2021-08-20,0.6728516,2021-08-20
point551,2021-09-04,0.67335844,2021-09-04
point551,2021-09-19,0.6732751,2021-09-19
point551,2021-10-04,0.67423975,2021-10-04
point551,2021-10-19,0.67493325,2021-10-19
point551,2021-11-03,0.67546433,2021-11-03
point551,2021-11-18,0.67590564,2021-11-18
point551,2021-12-03,0.6766343,2021-12-03
point551,2021-12-18,0.6765005,2021-12-18
point551,2022-01-02,0.6755231,2022-01-02
point551,2022-01-17,0.67506856,2022-01-17
point551,2022-02-01,0.6746192,2022-02-01
point551,2022-02-16,0.67414415,2022-02-16
point551,2022-03-03,0.67368966,2022-03-03
point551,2022-03-18,0.67324954,2022-03-18
point551,2022-04-02,0.67274725,2022-04-02
point551,2022-04-17,0.672369,2022-04-17
point551,2022-05-02,0.6721242,2022-05-02
point551,2022-05-17,0.67181677,2022-05-17
point551,2022-06-01,0.67168397,2022-06-01
point551,2022-06-16,0.67183083,2022-06-16
point551,2022-07-01,0.67210585,2022-07-01
point551,2022-07-16,0.6722432,2022-07-16
point551,2022-07-31,0.672259,2022-07-31
point551,2022-08-15,0.67261916,2022-08-15
point551,2022-08-30,0.6727828,2022-08-30
point551,2022-09-14,0.6730475,2022-09-14
point551,2022-09-29,0.67352355,2022-09-29
point551,2022-10-14,0.6740955,2022-10-14
point551,2022-10-29,0.6740473,2022-10-29
point551,2022-11-13,0.67365646,2022-11-13
point551,2022-11-28,0.6736844,2022-11-28
point551,2022-12-13,0.67388994,2022-12-13
point551,2022-12-28,0.6740096,2022-12-28
point551,2023-01-12,0.6741216,2023-01-12
point551,2023-01-27,0.67426956,2023-01-27
point551,2023-02-11,0.6741791,2023-02-11
point551,2023-02-26,0.67381454,2023-02-26
point551,2023-03-13,0.67368305,2023-03-13
point551,2023-03-28,0.67353576,2023-03-28
point551,2023-04-12,0.67334706,2023-04-12
point551,2023-04-27,0.67327183,2023-04-27
point551,2023-05-12,0.67321867,2023-05-12
point551,2023-05-27,0.6731098,2023-05-27
point551,2023-06-11,0.6730371,2023-06-11
point551,2023-06-26,0.6730396,2023-06-26
point551,2023-07-11,0.6730044,2023-07-11
point551,2023-07-26,0.6730522,2023-07-26
point551,2023-08-10,0.6732246,2023-08-10
point551,2023-08-25,0.6734341,2023-08-25
point551,2023-09-09,0.6734847,2023-09-09
point551,2023-09-24,0.67341435,2023-09-24
point551,2023-10-09,0.6734531,2023-10-09
point551,2023-10-24,0.6735694,2023-10-24
point551,2023-11-08,0.6736754,2023-11-08
point551,2023-11-23,0.67379814,2023-11-23
point551,2023-12-08,0.67397153,2023-12-08
point551,2023-12-23,0.67391986,2023-12-23
point551,2024-01-07,0.67370135,2024-01-07
point551,2024-01-22,0.6736293,2024-01-22
point551,2024-02-06,0.67361975,2024-02-06
point551,2024-02-21,0.67363423,2024-02-21
point551,2024-03-07,0.6736321,2024-03-07
point551,2024-03-22,0.6736357,2024-03-22
point551,2024-04-06,0.6735691,2024-04-06
point551,2024-04-21,0.6734689,2024-04-21
point551,2024-05-06,0.6734051,2024-05-06
point551,2024-05-21,0.6733648,2024-05-21
point551,2024-06-05,0.67336303,2024-06-05
point551,2024-06-20,0.673407,2024-06-20
point551,2024-07-05,0.67345566,2024-07-05
