point,date,pred_TimeGPT,date_original_timegpt
point201,2020-01-13,0.67101896,2020-01-13
point201,2020-01-28,0.67030144,2020-01-28
point201,2020-02-12,0.6679829,2020-02-12
point201,2020-02-27,0.66653544,2020-02-27
point201,2020-03-13,0.6682592,2020-03-13
point201,2020-03-28,0.6701201,2020-03-28
point201,2020-04-12,0.6713211,2020-04-12
point201,2020-04-27,0.6753324,2020-04-27
point201,2020-05-12,0.675884,2020-05-12
point201,2020-05-27,0.6759626,2020-05-27
point201,2020-06-11,0.67666984,2020-06-11
point201,2020-06-26,0.6775013,2020-06-26
point201,2020-07-11,0.67766684,2020-07-11
point201,2020-07-26,0.67711216,2020-07-26
point201,2020-08-10,0.67826265,2020-08-10
point201,2020-08-25,0.6797261,2020-08-25
point201,2020-09-09,0.6795588,2020-09-09
point201,2020-09-24,0.67932916,2020-09-24
point201,2020-10-09,0.67997885,2020-10-09
point201,2020-10-24,0.6794979,2020-10-24
point201,2020-11-08,0.67815936,2020-11-08
point201,2020-11-23,0.67784864,2020-11-23
point201,2020-12-08,0.6789657,2020-12-08
point201,2020-12-23,0.67941254,2020-12-23
point201,2021-01-07,0.679251,2021-01-07
point201,2021-01-22,0.67945397,2021-01-22
point201,2021-02-06,0.6793735,2021-02-06
point201,2021-02-21,0.67894804,2021-02-21
point201,2021-03-08,0.67893636,2021-03-08
point201,2021-03-23,0.6793521,2021-03-23
point201,2021-04-07,0.67946374,2021-04-07
point201,2021-04-22,0.6796768,2021-04-22
point201,2021-05-07,0.67999333,2021-05-07
point201,2021-05-22,0.6797578,2021-05-22
point201,2021-06-06,0.67939043,2021-06-06
point201,2021-06-21,0.6792774,2021-06-21
point201,2021-07-06,0.6799436,2021-07-06
point201,2021-07-21,0.6800579,2021-07-21
point201,2021-08-05,0.68009096,2021-08-05
point201,2021-08-20,0.68019694,2021-08-20
point201,2021-09-04,0.67994934,2021-09-04
point201,2021-09-19,0.67939997,2021-09-19
point201,2021-10-04,0.67906713,2021-10-04
point201,2021-10-19,0.6799436,2021-10-19
point201,2021-11-03,0.68008804,2021-11-03
point201,2021-11-18,0.68006074,2021-11-18
point201,2021-12-03,0.68003464,2021-12-03
point201,2021-12-18,0.6798288,2021-12-18
point201,2022-01-02,0.6791467,2022-01-02
point201,2022-01-17,0.67903274,2022-01-17
point201,2022-02-01,0.6797172,2022-02-01
point201,2022-02-16,0.67992485,2022-02-16
point201,2022-03-03,0.6799511,2022-03-03
point201,2022-03-18,0.679921,2022-03-18
point201,2022-04-02,0.6797444,2022-04-02
point201,2022-04-17,0.6792111,2022-04-17
point201,2022-05-02,0.6790921,2022-05-02
point201,2022-05-17,0.6798008,2022-05-17
point201,2022-06-01,0.67992026,2022-06-01
point201,2022-06-16,0.67991155,2022-06-16
point201,2022-07-01,0.67987883,2022-07-01
point201,2022-07-16,0.6797426,2022-07-16
point201,2022-07-31,0.6791878,2022-07-31
point201,2022-08-15,0.6790835,2022-08-15
point201,2022-08-30,0.67979676,2022-08-30
point201,2022-09-14,0.6798921,2022-09-14
point201,2022-09-29,0.6798653,2022-09-29
