point,date,pred_TimeGPT,date_original_timegpt
point1000,2020-01-13,0.68864506,2020-01-13
point1000,2020-01-28,0.6865734,2020-01-28
point1000,2020-02-12,0.68218243,2020-02-12
point1000,2020-02-27,0.6797914,2020-02-27
point1000,2020-03-13,0.68049985,2020-03-13
point1000,2020-03-28,0.68224245,2020-03-28
point1000,2020-04-12,0.684258,2020-04-12
point1000,2020-04-27,0.68509674,2020-04-27
point1000,2020-05-12,0.6847497,2020-05-12
point1000,2020-05-27,0.6849897,2020-05-27
point1000,2020-06-11,0.6865044,2020-06-11
point1000,2020-06-26,0.68746907,2020-06-26
point1000,2020-07-11,0.68777776,2020-07-11
point1000,2020-07-26,0.6862392,2020-07-26
point1000,2020-08-10,0.69090325,2020-08-10
point1000,2020-08-25,0.6925303,2020-08-25
point1000,2020-09-09,0.69205725,2020-09-09
point1000,2020-09-24,0.69239575,2020-09-24
point1000,2020-10-09,0.69292563,2020-10-09
point1000,2020-10-24,0.6913518,2020-10-24
point1000,2020-11-08,0.691107,2020-11-08
point1000,2020-11-23,0.6903931,2020-11-23
point1000,2020-12-08,0.6909992,2020-12-08
point1000,2020-12-23,0.691183,2020-12-23
point1000,2021-01-07,0.69141036,2021-01-07
point1000,2021-01-22,0.69154835,2021-01-22
point1000,2021-02-06,0.6912701,2021-02-06
point1000,2021-02-21,0.69067293,2021-02-21
point1000,2021-03-08,0.69096965,2021-03-08
point1000,2021-03-23,0.69109786,2021-03-23
point1000,2021-04-07,0.6910205,2021-04-07
point1000,2021-04-22,0.69114554,2021-04-22
point1000,2021-05-07,0.6913596,2021-05-07
point1000,2021-05-22,0.6911336,2021-05-22
point1000,2021-06-06,0.6909359,2021-06-06
point1000,2021-06-21,0.6912801,2021-06-21
point1000,2021-07-06,0.6916529,2021-07-06
point1000,2021-07-21,0.6917144,2021-07-21
point1000,2021-08-05,0.6919547,2021-08-05
point1000,2021-08-20,0.69211906,2021-08-20
point1000,2021-09-04,0.6916949,2021-09-04
point1000,2021-09-19,0.6913208,2021-09-19
point1000,2021-10-04,0.69116676,2021-10-04
point1000,2021-10-19,0.69187766,2021-10-19
point1000,2021-11-03,0.6919771,2021-11-03
point1000,2021-11-18,0.69199467,2021-11-18
point1000,2021-12-03,0.6920105,2021-12-03
point1000,2021-12-18,0.6917568,2021-12-18
point1000,2022-01-02,0.69117635,2022-01-02
point1000,2022-01-17,0.6912128,2022-01-17
point1000,2022-02-01,0.6918443,2022-02-01
point1000,2022-02-16,0.6919529,2022-02-16
point1000,2022-03-03,0.6919545,2022-03-03
point1000,2022-03-18,0.6919374,2022-03-18
point1000,2022-04-02,0.6917035,2022-04-02
point1000,2022-04-17,0.69116753,2022-04-17
point1000,2022-05-02,0.6912215,2022-05-02
point1000,2022-05-17,0.6918721,2022-05-17
