排名,参数方案,原始标识,方案说明,MSE,MAE,RMSE,SMAPE,树数量,学习率,最大深度,子样本比例,列采样比例,L1正则,L2正则
1,五层树正则化方案,depth5_regularized,在树深度5的基础上加入子样本采样、列采样和L1/L2正则化，是最终采用方案。,0.0000,0.0031,0.0045,1.2249,300,0.04,5,0.75,0.8,0.2,2.0
2,四层树叶节点约束方案,depth4_child_weight,树深度为4，并通过min_child_weight限制叶节点复杂度。,0.0000,0.0033,0.0047,1.2670,400,0.04,4,0.85,0.85,0.1,1.5
3,四层树基准方案,baseline_depth4,树深度为4的基础XGBoost参数组合，用作调参基准。,0.0000,0.0034,0.0048,1.2982,300,0.05,4,0.8,0.8,0.1,1.0
4,三层浅树多轮迭代方案,shallow_depth3_more_trees,降低单棵树深度至3，同时增加树数量以补偿表达能力。,0.0000,0.0043,0.0059,1.5076,500,0.03,3,0.85,0.9,0.05,1.0
5,DART随机丢树方案,dart_dropout,采用DART booster，通过随机丢弃树结构增强泛化。,0.0000,0.0044,0.0059,1.5092,300,0.05,4,0.85,0.85,0.1,1.0
6,三层浅树强正则化方案,depth3_stronger_regularization,树深度为3，并进一步加强L1/L2正则化约束。,0.0000,0.0043,0.0059,1.5172,500,0.03,3,0.8,0.8,0.2,2.0
