排名,方案,参数设置,points,test_samples,MSE,MAE,RMSE,SMAPE
1,finetune100_d1_default,"finetune_steps=100, depth=1, loss=default",1000,131000,0.0019979515321209,0.0335394944116379,0.0446984511154575,8.303411662670431
2,finetune200_d1_default,"finetune_steps=200, depth=1, loss=default",1000,131000,0.002139513007692,0.0344265357568491,0.0462548700970189,8.479202928213162
3,finetune50_d1_default,"finetune_steps=50, depth=1, loss=default",1000,131000,0.0022434223486853,0.0360156588504707,0.047364779622472,8.757200130638152
4,finetune20_d2_default,"finetune_steps=20, depth=2, loss=default",1000,131000,0.0038024797518075,0.0479920556775253,0.0616642501925353,10.934842671935224
5,finetune20_d1_mae,"finetune_steps=20, depth=1, loss=mae",1000,131000,0.0040250498311715,0.0495010074626403,0.0634432804256809,11.23509864821617
6,finetune20_d1_default,"finetune_steps=20, depth=1, loss=default",1000,131000,0.0041006380886332,0.0500320015798877,0.0640362248155933,11.318827769378476
7,finetune10_d1_default,"finetune_steps=10, depth=1, loss=default",1000,131000,0.0045562672090849,0.0531153229738264,0.0675001274745828,11.902957986069335
8,zero-shot,"finetune_steps=0, depth=1, loss=default",1000,131000,0.0053336601642713,0.0580590880553302,0.0730319119582075,12.74878668847962
