模型,实验口径,样点数,测试样本数,MSE,MAE,RMSE,SMAPE,备注,time_s
XGBoost,最新流水线,1000,131000,1.998717269876037e-05,0.0030986064925082,0.0044707015890976,1.2248992780079595,同一重构序列；同一EWMA输入；1985-2019训练，2020-2025测试,3.17
LightGBM,最新流水线,1000,131000,2.0143757847417837e-05,0.0030747139465846,0.004488179792234,1.200382202322739,同一重构序列；同一EWMA输入；1985-2019训练，2020-2025测试,2.43
