point_id,RMSE,SMAPE
point1,0.004052471493081737,0.6149739009150497
point10,0.0032594081840324977,0.6529645296290074
point100,0.0030591269976825873,0.3910364439925768
point1000,0.0023772508690218194,0.30514512492255436
point101,0.003517524671093965,0.4621091048769132
point102,0.002746373924250039,0.32984606186390397
point103,0.004618635297115114,0.6436764423428619
point104,0.005156763583496359,1.0010627838253814
point105,0.00492385751017234,0.7216431467614939
point106,0.0021280178485359237,0.4356384654640669
point107,0.0030122909767970533,0.353882042510765
point108,0.005308750436367585,0.8072863820440547
point109,0.0026651384636051526,0.35796842175262616
point11,0.008591156091572901,4.079385496526179
point110,0.006329945255803901,14.286240858332302
point111,0.0037695636943182054,0.6947180218216653
point112,0.002628600447087445,0.42061927156503687
point113,0.002961453203855822,0.45059432820169654
point114,0.0045184128654546275,1.1035915174388642
point115,0.0029270028018644964,0.3468933221785419
point116,0.0039191968909259795,1.2249854918371454
point117,0.002374799075571557,0.3326563934513983
point118,0.004683847933172978,0.8728028373323168
point119,0.002594277402464413,0.3151594272967679
point12,0.0044423511856243065,0.8476281057421318
point120,0.0026320251964117524,0.7811693289380812
point121,0.0017906761914564565,0.2733304131789849
point122,0.0031709357945251494,0.7541092683545286
point123,0.00393849167159602,0.6010028605104383
point124,0.004750723268970798,0.7398740656869668
point125,0.0017729923017222244,0.230524402846004
point126,0.0030526183426020457,0.49538969382169307
point127,0.005750781203941057,0.9405019356717172
point128,0.003378306934739312,0.40744088938215395
point129,0.003273519185186911,0.6121611129712605
point13,0.0030592340481464496,0.38207258681627343
point130,0.0026278795223951016,0.4169139316794591
point131,0.004554330365213575,0.9846643381577288
point132,0.002233940455238948,0.4622535720304489
point133,0.002799468278081249,0.34253462825630354
point134,0.0028065781832004523,0.3713247119803409
point135,0.004867188327748254,0.7206296728936151
point136,0.0047272587220177536,1.253816489700565
point137,0.0020053651118965747,0.25516284540187445
point138,0.0030538895813758604,0.38646489482017987
point139,0.005018083666750062,0.6973950077602259
point14,0.0027077652531495885,0.3627194500349006
point140,0.002329769221505352,0.32742218640552717
point141,0.0031402741321211913,0.37568152295681356
point142,0.002612077134750998,0.33002518574247464
point143,0.0031561766722729974,0.5731415569295896
point144,0.002751684747824699,0.5072831201120963
point145,0.0037135899307150096,0.43869602321618206
point146,0.008312069040533223,0.745477958896776
point147,0.0024191187001974934,0.2998251280618921
point148,0.005296791144509688,0.7933804215393254
point149,0.003017989700260219,0.39120877137748206
point15,0.005681507423458112,0.5040783117385965
point150,0.001990420486288658,0.2859859530395473
point151,0.006768607417501712,0.6434889509681794
point152,0.003863676096459994,0.5017648979905668
point153,0.0023601748379811003,0.29141161119517484
point154,0.004849781387212861,0.8611608248930839
point155,0.002707543659294683,0.5914477462071286
point156,0.0018827760897955827,0.2496683370902323
point157,0.005011095385865306,60.407961322846624
point158,0.001901875653224008,0.3795439603721129
point159,0.00508026595131386,0.8005430172042175
point16,0.0023526420715277133,0.3013205706219764
point160,0.0025501790782725534,0.333977143529989
point161,0.003988289648364604,2.904597814223414
point162,0.004307461583809991,5.4599082071862
point163,0.006405050426691024,1.7570240319641768
point164,0.002513445993765265,0.44766814195073384
point165,0.003928207383739338,0.6799537685114342
point166,0.002316382979849354,0.3524880163023676
point167,0.0038289269348283344,0.5743452335743674
point168,0.0020842757850577484,0.3994416342452704
point169,0.002909346422235681,0.4929218801200755
point17,0.004638279113725264,6.167794054957197
point170,0.0032461373098953187,0.5892117723871092
point171,0.0025738627683847396,0.37984530166880787
point172,0.001517532337552935,0.2625222595050795
point173,0.006566410333449786,0.6543668700953438
point174,0.0038591177498503416,0.9564283383937058
point175,0.003317943453516677,0.6570145125386633
point176,0.0035461611901376772,2.844382524635532
point177,0.004921539964286584,0.9940730534398469
point178,0.005865991344391628,1.0683023156269869
point179,0.002766364189161697,0.39624861901250746
point18,0.0026917333070277483,0.44561385873659953
point180,0.0022341729191845306,0.30004858373780335
point181,0.003585485691740874,0.56545320886886
point182,0.003123180685574149,0.4529331553385113
point183,0.002457503775427906,0.3115164482030414
point184,0.002846339449443592,0.6442855821408873
point185,0.0020168820579808183,0.30852231686829834
point186,0.00546148404904227,0.8832748041905788
point187,0.006963899147556908,21.40863424671009
point188,0.005887388497502983,0.9581486954652633
point189,0.001794222519754518,0.28281643134304174
point19,0.005178606691059026,0.8296658479397465
point190,0.003950984446455158,0.47593441486126825
point191,0.0018254828948632167,0.2617136339510624
point192,0.0026708606645252206,0.34752423909773555
point193,0.002518370234591148,0.39828951283904973
point194,0.0038966816045181646,0.6829519072564944
point195,0.0021999078550046154,0.29074000462900085
point196,0.0013802571427678852,0.2416763922845075
point197,0.0021633881381218608,0.37689178586760236
point198,0.007612117989744871,16.61068910661545
point199,0.004661007154125987,2.62025320265415
point2,0.002781687963501067,0.7454908123774647
point20,0.0027446351827634286,0.4191757073490853
point200,0.005678891634375232,12.37500571771855
point201,0.0025689744908987864,0.301952684694992
point202,0.004169609080648853,0.6230439728914507
point203,0.0017372530278039677,0.28604077290513774
point204,0.0016063565083740303,0.2725269700869275
point205,0.004029238479360405,2.1343499915268747
point206,0.002945329008492495,0.42880842272394115
point207,0.005200439298448058,0.9306257799899834
point208,0.005021425778944361,0.9696270745300843
point209,0.0038198371538909906,0.6424964309900028
point21,0.003839834194462438,0.51697982837525
point210,0.00376724711189781,0.4416507937635387
point211,0.0034330895945116984,0.6137813600869158
point212,0.0035261509368217534,0.8695623111808539
point213,0.005387981227688358,1.5314786233197044
point214,0.00294362020687374,0.39671673501733656
point215,0.002809988452382306,0.33646642988517883
point216,0.0031013005497954817,0.3942582872988757
point217,0.003673164546022338,0.44484445656667654
point218,0.0020321798867865494,0.2707216514268375
point219,0.0021095153931692426,0.4058423429981266
point22,0.0060334929390734515,0.5686361660861311
point220,0.010816476655939938,0.9093859424460375
point221,0.0029284917814679044,0.5291398664390651
point222,0.002552789268380147,0.33503203452322605
point223,0.0024559442144980533,0.3127031034590435
point224,0.0045836454117440546,0.6201157994509334
point225,0.005606233776658826,0.971923875858646
