TimeGPT方案,points,test_samples,MSE,MAE,RMSE,SMAPE
zero-shot全量,1000,131000,0.0053336601642713,0.0580590880553302,0.0730319119582075,12.74878668847962
finetune_steps=10全量,1000,131000,0.0045562672090849,0.0531153229738264,0.0675001274745828,11.902957986069335
