point,date,pred_TimeGPT,date_original_timegpt
point701,2020-01-13,0.5543691,2020-01-13
point701,2020-01-28,0.5465946,2020-01-28
point701,2020-02-12,0.5392092,2020-02-12
point701,2020-02-27,0.5317288,2020-02-27
point701,2020-03-13,0.52821946,2020-03-13
point701,2020-03-28,0.53008443,2020-03-28
point701,2020-04-12,0.53308886,2020-04-12
point701,2020-04-27,0.53324056,2020-04-27
point701,2020-05-12,0.5328975,2020-05-12
point701,2020-05-27,0.5338793,2020-05-27
point701,2020-06-11,0.535733,2020-06-11
point701,2020-06-26,0.53771925,2020-06-26
point701,2020-07-11,0.53828174,2020-07-11
point701,2020-07-26,0.5362958,2020-07-26
point701,2020-08-10,0.5409771,2020-08-10
point701,2020-08-25,0.5440301,2020-08-25
point701,2020-09-09,0.5444979,2020-09-09
point701,2020-09-24,0.5447528,2020-09-24
point701,2020-10-09,0.5454837,2020-10-09
point701,2020-10-24,0.5433611,2020-10-24
point701,2020-11-08,0.5412965,2020-11-08
point701,2020-11-23,0.53905505,2020-11-23
point701,2020-12-08,0.53979784,2020-12-08
point701,2020-12-23,0.53995425,2020-12-23
point701,2021-01-07,0.5399225,2021-01-07
point701,2021-01-22,0.5400826,2021-01-22
point701,2021-02-06,0.5398194,2021-02-06
point701,2021-02-21,0.53930026,2021-02-21
point701,2021-03-08,0.5399182,2021-03-08
point701,2021-03-23,0.5405879,2021-03-23
point701,2021-04-07,0.5405533,2021-04-07
point701,2021-04-22,0.54027426,2021-04-22
point701,2021-05-07,0.5400872,2021-05-07
point701,2021-05-22,0.5401692,2021-05-22
point701,2021-06-06,0.54005206,2021-06-06
point701,2021-06-21,0.53988975,2021-06-21
point701,2021-07-06,0.54132897,2021-07-06
point701,2021-07-21,0.5417118,2021-07-21
point701,2021-08-05,0.5419065,2021-08-05
point701,2021-08-20,0.5419946,2021-08-20
point701,2021-09-04,0.54125285,2021-09-04
point701,2021-09-19,0.539889,2021-09-19
point701,2021-10-04,0.5393157,2021-10-04
point701,2021-10-19,0.54168135,2021-10-19
point701,2021-11-03,0.5422428,2021-11-03
point701,2021-11-18,0.54218984,2021-11-18
point701,2021-12-03,0.54220825,2021-12-03
point701,2021-12-18,0.5416683,2021-12-18
point701,2022-01-02,0.5396768,2022-01-02
point701,2022-01-17,0.53955424,2022-01-17
point701,2022-02-01,0.5416841,2022-02-01
point701,2022-02-16,0.5420562,2022-02-16
point701,2022-03-03,0.5420556,2022-03-03
point701,2022-03-18,0.54203427,2022-03-18
point701,2022-04-02,0.5414694,2022-04-02
point701,2022-04-17,0.539685,2022-04-17
point701,2022-05-02,0.5395068,2022-05-02
point701,2022-05-17,0.5416555,2022-05-17
point701,2022-06-01,0.5419162,2022-06-01
point701,2022-06-16,0.54187214,2022-06-16
point701,2022-07-01,0.54179794,2022-07-01
point701,2022-07-16,0.54132277,2022-07-16
point701,2022-07-31,0.53962153,2022-07-31
point701,2022-08-15,0.5393642,2022-08-15
