method,pseudo_MSE,pseudo_MAE,pseudo_RMSE,pseudo_SMAPE,obs_RMSE,obs_SMAPE,repeat_ratio,max_repeat_run,roughness_second_diff,rank_pseudo_RMSE,rank_pseudo_SMAPE,rank_obs_RMSE,rank_obs_SMAPE,rank_repeat_ratio,rank_max_repeat_run,rank_roughness_second_diff,mean_rank,overall_rank
Linear,0.0015075134915138,0.0282719442805379,0.0388267110571302,8.112131138215126,0.0,0.0,1.017293997965412e-06,2,0.002215384734257163,1,1,1,1,1,1,3,1.2857142857142858,1
PCHIP,0.0016137727911605,0.0291697415628015,0.0401717909877133,8.341127695791856,0.0,0.0,1.017293997965412e-06,2,0.002132088522956466,2,2,1,1,1,1,2,1.4285714285714286,2
Kalman,0.0041653050318411,0.0430706548036093,0.0645391743969593,11.452402070562425,0.023263520747735276,4.840535846515694,0.009138351983723297,34,0.002096055256306885,3,3,3,3,3,3,1,2.7142857142857144,3
