模型,数据部分,time_s,MSE,MAE,RMSE,SMAPE
基础LSTM,val,23.57,1.3458648027153686e-05,0.00274766911752522,0.0036686030075702776,1.9806682495546093
基础LSTM,test,23.58,1.675320709182415e-05,0.0026961409021168947,0.0040930681758094565,1.4927175574743727
EWMA特征增强LSTM,val,17.48,1.669531047809869e-05,0.0030400208197534084,0.004085989534751489,2.06254903891585
EWMA特征增强LSTM,test,17.48,1.9064937077928334e-05,0.002913259668275714,0.004366341383575995,1.5648799829584634
EWMA-LSTM + 残差校正,test,,1.689151395112276e-05,0.002644990338012576,0.004109928703897764,1.571834899578042
