排名,模型,数据部分,time_s,MSE,MAE,RMSE,SMAPE
1,基础LSTM,test,23.58,1.675320709182415e-05,0.0026961409021168947,0.0040930681758094565,1.4927175574743727
2,EWMA-LSTM + 残差校正,test,,1.689151395112276e-05,0.002644990338012576,0.004109928703897764,1.571834899578042
3,EWMA特征增强LSTM,test,17.48,1.9064937077928334e-05,0.002913259668275714,0.004366341383575995,1.5648799829584634
