数据部分,时间范围,样本数,用途
训练集,1985-01-01 至 2014-12-31,728000,模型训练
验证集,2015-01-01 至 2019-12-31,122000,调参/早停
测试集,2020-01-01 至 2025-05-16,131000,最终评价
