point,date,pred_TimeGPT,date_original_timegpt
point100,2020-01-13,0.72771436,2020-01-13
point100,2020-01-28,0.71899223,2020-01-28
point100,2020-02-12,0.71172154,2020-02-12
point100,2020-02-27,0.7048735,2020-02-27
point100,2020-03-13,0.6983614,2020-03-13
point100,2020-03-28,0.6910922,2020-03-28
point100,2020-04-12,0.6861123,2020-04-12
point100,2020-04-27,0.680965,2020-04-27
point100,2020-05-12,0.6798583,2020-05-12
point100,2020-05-27,0.68034613,2020-05-27
point100,2020-06-11,0.6837799,2020-06-11
point100,2020-06-26,0.6887684,2020-06-26
point100,2020-07-11,0.69320405,2020-07-11
point100,2020-07-26,0.6971907,2020-07-26
point100,2020-08-10,0.7030302,2020-08-10
point100,2020-08-25,0.70762616,2020-08-25
point100,2020-09-09,0.7129975,2020-09-09
point100,2020-09-24,0.718292,2020-09-24
point100,2020-10-09,0.7240187,2020-10-09
point100,2020-10-24,0.7262049,2020-10-24
point100,2020-11-08,0.7245578,2020-11-08
point100,2020-11-23,0.7245144,2020-11-23
point100,2020-12-08,0.721889,2020-12-08
point100,2020-12-23,0.7196382,2020-12-23
point100,2021-01-07,0.7165699,2021-01-07
point100,2021-01-22,0.71287304,2021-01-22
point100,2021-02-06,0.7099767,2021-02-06
point100,2021-02-21,0.70811355,2021-02-21
point100,2021-03-08,0.70427376,2021-03-08
point100,2021-03-23,0.70107085,2021-03-23
point100,2021-04-07,0.6976754,2021-04-07
point100,2021-04-22,0.69660753,2021-04-22
point100,2021-05-07,0.6969537,2021-05-07
point100,2021-05-22,0.6974276,2021-05-22
point100,2021-06-06,0.69822097,2021-06-06
point100,2021-06-21,0.7008472,2021-06-21
point100,2021-07-06,0.70214117,2021-07-06
point100,2021-07-21,0.7038462,2021-07-21
point100,2021-08-05,0.70649934,2021-08-05
point100,2021-08-20,0.7097597,2021-08-20
point100,2021-09-04,0.7113203,2021-09-04
point100,2021-09-19,0.7122435,2021-09-19
point100,2021-10-04,0.71354145,2021-10-04
point100,2021-10-19,0.7145971,2021-10-19
point100,2021-11-03,0.71508235,2021-11-03
point100,2021-11-18,0.715351,2021-11-18
point100,2021-12-03,0.7160871,2021-12-03
point100,2021-12-18,0.7160487,2021-12-18
point100,2022-01-02,0.7155234,2022-01-02
point100,2022-01-17,0.7145344,2022-01-17
point100,2022-02-01,0.71326596,2022-02-01
point100,2022-02-16,0.7109992,2022-02-16
point100,2022-03-03,0.7096797,2022-03-03
point100,2022-03-18,0.70840013,2022-03-18
point100,2022-04-02,0.7075008,2022-04-02
point100,2022-04-17,0.70760584,2022-04-17
point100,2022-05-02,0.70703423,2022-05-02
point100,2022-05-17,0.7065293,2022-05-17
point100,2022-06-01,0.7063472,2022-06-01
point100,2022-06-16,0.70713496,2022-06-16
point100,2022-07-01,0.7081647,2022-07-01
point100,2022-07-16,0.7090276,2022-07-16
point100,2022-07-31,0.7097666,2022-07-31
point100,2022-08-15,0.7110562,2022-08-15
point100,2022-08-30,0.71168417,2022-08-30
point100,2022-09-14,0.71222097,2022-09-14
point100,2022-09-29,0.7130311,2022-09-29
point100,2022-10-14,0.71398616,2022-10-14
point100,2022-10-29,0.7142969,2022-10-29
point100,2022-11-13,0.7144091,2022-11-13
point100,2022-11-28,0.71440345,2022-11-28
point100,2022-12-13,0.7139055,2022-12-13
point100,2022-12-28,0.7133632,2022-12-28
point100,2023-01-12,0.7127971,2023-01-12
point100,2023-01-27,0.7121216,2023-01-27
point100,2023-02-11,0.7115973,2023-02-11
point100,2023-02-26,0.71126837,2023-02-26
point100,2023-03-13,0.71090585,2023-03-13
point100,2023-03-28,0.7102807,2023-03-28
point100,2023-04-12,0.7095932,2023-04-12
point100,2023-04-27,0.70935255,2023-04-27
point100,2023-05-12,0.70941025,2023-05-12
point100,2023-05-27,0.70955664,2023-05-27
point100,2023-06-11,0.70983845,2023-06-11
point100,2023-06-26,0.7103776,2023-06-26
point100,2023-07-11,0.7105636,2023-07-11
point100,2023-07-26,0.71081334,2023-07-26
point100,2023-08-10,0.7112668,2023-08-10
point100,2023-08-25,0.71182007,2023-08-25
point100,2023-09-09,0.71210504,2023-09-09
point100,2023-09-24,0.71232176,2023-09-24
point100,2023-10-09,0.71256995,2023-10-09
point100,2023-10-24,0.712666,2023-10-24
point100,2023-11-08,0.712662,2023-11-08
point100,2023-11-23,0.7126692,2023-11-23
point100,2023-12-08,0.7127785,2023-12-08
point100,2023-12-23,0.71277916,2023-12-23
point100,2024-01-07,0.71278995,2024-01-07
point100,2024-01-22,0.7126794,2024-01-22
point100,2024-02-06,0.7124592,2024-02-06
point100,2024-02-21,0.71203905,2024-02-21
point100,2024-03-07,0.7118189,2024-03-07
point100,2024-03-22,0.71161586,2024-03-22
point100,2024-04-06,0.7114984,2024-04-06
point100,2024-04-21,0.7116113,2024-04-21
point100,2024-05-06,0.71158403,2024-05-06
point100,2024-05-21,0.7114882,2024-05-21
point100,2024-06-05,0.7114329,2024-06-05
point100,2024-06-20,0.71158016,2024-06-20
point100,2024-07-05,0.7117755,2024-07-05
point100,2024-07-20,0.7119301,2024-07-20
point100,2024-08-04,0.71207684,2024-08-04
point100,2024-08-19,0.71232355,2024-08-19
point100,2024-09-03,0.71238893,2024-09-03
point100,2024-09-18,0.71242666,2024-09-18
point100,2024-10-03,0.7125355,2024-10-03
point100,2024-10-18,0.71267045,2024-10-18
point100,2024-11-02,0.71272534,2024-11-02
point100,2024-11-17,0.7127887,2024-11-17
point100,2024-12-02,0.7127628,2024-12-02
point100,2024-12-17,0.7126362,2024-12-17
point100,2025-01-01,0.71249455,2025-01-01
point100,2025-01-16,0.712378,2025-01-16
point100,2025-01-31,0.7122472,2025-01-31
point100,2025-02-15,0.7121553,2025-02-15
point100,2025-03-02,0.71211755,2025-03-02
point100,2025-03-17,0.71209204,2025-03-17
point100,2025-04-01,0.7119821,2025-04-01
point100,2025-04-16,0.711868,2025-04-16
point100,2025-05-01,0.7118393,2025-05-01
point100,2025-05-16,0.7118585,2025-05-16
point51,2020-01-13,0.6629075,2020-01-13
point51,2020-01-28,0.6547295,2020-01-28
point51,2020-02-12,0.6476147,2020-02-12
point51,2020-02-27,0.63953197,2020-02-27
point51,2020-03-13,0.62841636,2020-03-13
point51,2020-03-28,0.61675274,2020-03-28
point51,2020-04-12,0.6086565,2020-04-12
point51,2020-04-27,0.6006367,2020-04-27
point51,2020-05-12,0.5927728,2020-05-12
point51,2020-05-27,0.5874076,2020-05-27
point51,2020-06-11,0.58792657,2020-06-11
point51,2020-06-26,0.5895164,2020-06-26
point51,2020-07-11,0.5931723,2020-07-11
point51,2020-07-26,0.5967657,2020-07-26
point51,2020-08-10,0.6050195,2020-08-10
point51,2020-08-25,0.61033523,2020-08-25
point51,2020-09-09,0.6162823,2020-09-09
point51,2020-09-24,0.62378174,2020-09-24
point51,2020-10-09,0.6327118,2020-10-09
point51,2020-10-24,0.6370738,2020-10-24
point51,2020-11-08,0.6379512,2020-11-08
point51,2020-11-23,0.64053166,2020-11-23
point51,2020-12-08,0.6420236,2020-12-08
point51,2020-12-23,0.6426953,2020-12-23
point51,2021-01-07,0.6427178,2021-01-07
point51,2021-01-22,0.6422712,2021-01-22
point51,2021-02-06,0.64066494,2021-02-06
point51,2021-02-21,0.6396385,2021-02-21
point51,2021-03-08,0.63581103,2021-03-08
point51,2021-03-23,0.63182074,2021-03-23
point51,2021-04-07,0.6262428,2021-04-07
point51,2021-04-22,0.6237628,2021-04-22
point51,2021-05-07,0.62128556,2021-05-07
point51,2021-05-22,0.61882854,2021-05-22
point51,2021-06-06,0.6190767,2021-06-06
point51,2021-06-21,0.6185161,2021-06-21
point51,2021-07-06,0.61786216,2021-07-06
point51,2021-07-21,0.61823756,2021-07-21
point51,2021-08-05,0.62123823,2021-08-05
point51,2021-08-20,0.62486225,2021-08-20
point51,2021-09-04,0.6271457,2021-09-04
point51,2021-09-19,0.62924796,2021-09-19
point51,2021-10-04,0.63245165,2021-10-04
point51,2021-10-19,0.6338437,2021-10-19
point51,2021-11-03,0.6348304,2021-11-03
point51,2021-11-18,0.6365595,2021-11-18
point51,2021-12-03,0.6387538,2021-12-03
point51,2021-12-18,0.6392371,2021-12-18
point51,2022-01-02,0.63950074,2022-01-02
point51,2022-01-17,0.6384577,2022-01-17
point51,2022-02-01,0.63638765,2022-02-01
point51,2022-02-16,0.6342704,2022-02-16
point51,2022-03-03,0.63244694,2022-03-03
point51,2022-03-18,0.6302864,2022-03-18
point51,2022-04-02,0.62834024,2022-04-02
point51,2022-04-17,0.62733746,2022-04-17
point51,2022-05-02,0.62592316,2022-05-02
point51,2022-05-17,0.6244982,2022-05-17
point51,2022-06-01,0.6231882,2022-06-01
point51,2022-06-16,0.623147,2022-06-16
point51,2022-07-01,0.62371236,2022-07-01
point51,2022-07-16,0.6244508,2022-07-16
point51,2022-07-31,0.6254278,2022-07-31
point51,2022-08-15,0.62710625,2022-08-15
point51,2022-08-30,0.6279137,2022-08-30
point51,2022-09-14,0.6289221,2022-09-14
point51,2022-09-29,0.6304047,2022-09-29
point51,2022-10-14,0.6322039,2022-10-14
point51,2022-10-29,0.6329581,2022-10-29
point51,2022-11-13,0.6332749,2022-11-13
point51,2022-11-28,0.63368917,2022-11-28
point51,2022-12-13,0.63379794,2022-12-13
point51,2022-12-28,0.63366413,2022-12-28
point51,2023-01-12,0.6335629,2023-01-12
point51,2023-01-27,0.63348246,2023-01-27
point51,2023-02-11,0.6332228,2023-02-11
point51,2023-02-26,0.63321495,2023-02-26
point51,2023-03-13,0.6326631,2023-03-13
point51,2023-03-28,0.63192374,2023-03-28
point51,2023-04-12,0.63077617,2023-04-12
point51,2023-04-27,0.6303351,2023-04-27
point51,2023-05-12,0.62994945,2023-05-12
point51,2023-05-27,0.62966824,2023-05-27
point51,2023-06-11,0.63001335,2023-06-11
point51,2023-06-26,0.63010806,2023-06-26
point51,2023-07-11,0.62996554,2023-07-11
point51,2023-07-26,0.6299779,2023-07-26
point51,2023-08-10,0.6305673,2023-08-10
point51,2023-08-25,0.6312684,2023-08-25
point51,2023-09-09,0.631687,2023-09-09
point51,2023-09-24,0.6321107,2023-09-24
point51,2023-10-09,0.6327204,2023-10-09
point51,2023-10-24,0.6328454,2023-10-24
point51,2023-11-08,0.6328171,2023-11-08
point51,2023-11-23,0.6330192,2023-11-23
point51,2023-12-08,0.63335204,2023-12-08
point51,2023-12-23,0.63345623,2023-12-23
point51,2024-01-07,0.6336622,2024-01-07
point51,2024-01-22,0.63348806,2024-01-22
point51,2024-02-06,0.63305044,2024-02-06
point51,2024-02-21,0.6325304,2024-02-21
point51,2024-03-07,0.6321632,2024-03-07
point51,2024-03-22,0.6317787,2024-03-22
point51,2024-04-06,0.6314528,2024-04-06
point51,2024-04-21,0.63137823,2024-04-21
point51,2024-05-06,0.63128614,2024-05-06
point51,2024-05-21,0.6310129,2024-05-21
point51,2024-06-05,0.6307661,2024-06-05
point51,2024-06-20,0.6308139,2024-06-20
point51,2024-07-05,0.6309381,2024-07-05
point51,2024-07-20,0.6310846,2024-07-20
point51,2024-08-04,0.63134336,2024-08-04
point51,2024-08-19,0.6316539,2024-08-19
point51,2024-09-03,0.6317803,2024-09-03
point51,2024-09-18,0.6319377,2024-09-18
point51,2024-10-03,0.6321852,2024-10-03
point51,2024-10-18,0.6324749,2024-10-18
point51,2024-11-02,0.63259333,2024-11-02
point51,2024-11-17,0.632675,2024-11-17
point51,2024-12-02,0.6327756,2024-12-02
point51,2024-12-17,0.6327473,2024-12-17
point51,2025-01-01,0.6326572,2025-01-01
point51,2025-01-16,0.6325971,2025-01-16
point51,2025-01-31,0.6325328,2025-01-31
point51,2025-02-15,0.63248456,2025-02-15
point51,2025-03-02,0.6325203,2025-03-02
point51,2025-03-17,0.63247913,2025-03-17
point51,2025-04-01,0.63234097,2025-04-01
point51,2025-04-16,0.63212615,2025-04-16
