point,date,pred_TimeGPT,date_original_timegpt
point301,2020-01-13,0.56285304,2020-01-13
point301,2020-01-28,0.5616603,2020-01-28
point301,2020-02-12,0.56047773,2020-02-12
point301,2020-02-27,0.5598542,2020-02-27
point301,2020-03-13,0.56126314,2020-03-13
point301,2020-03-28,0.5615005,2020-03-28
point301,2020-04-12,0.5597947,2020-04-12
point301,2020-04-27,0.5541028,2020-04-27
point301,2020-05-12,0.5487997,2020-05-12
point301,2020-05-27,0.5454501,2020-05-27
point301,2020-06-11,0.5436762,2020-06-11
point301,2020-06-26,0.5458113,2020-06-26
point301,2020-07-11,0.5493086,2020-07-11
point301,2020-07-26,0.5504972,2020-07-26
point301,2020-08-10,0.55135655,2020-08-10
point301,2020-08-25,0.55142164,2020-08-25
point301,2020-09-09,0.55058783,2020-09-09
point301,2020-09-24,0.55242074,2020-09-24
point301,2020-10-09,0.5541558,2020-10-09
point301,2020-10-24,0.5539913,2020-10-24
point301,2020-11-08,0.5533605,2020-11-08
point301,2020-11-23,0.5540544,2020-11-23
point301,2020-12-08,0.5540542,2020-12-08
point301,2020-12-23,0.5524265,2020-12-23
point301,2021-01-07,0.55143213,2021-01-07
point301,2021-01-22,0.552553,2021-01-22
point301,2021-02-06,0.5527498,2021-02-06
point301,2021-02-21,0.5530224,2021-02-21
point301,2021-03-08,0.551761,2021-03-08
point301,2021-03-23,0.55152637,2021-03-23
point301,2021-04-07,0.5506368,2021-04-07
point301,2021-04-22,0.5504995,2021-04-22
point301,2021-05-07,0.551625,2021-05-07
point301,2021-05-22,0.5522904,2021-05-22
point301,2021-06-06,0.5522587,2021-06-06
point301,2021-06-21,0.55236304,2021-06-21
point301,2021-07-06,0.55190045,2021-07-06
point301,2021-07-21,0.5507434,2021-07-21
point301,2021-08-05,0.5508083,2021-08-05
point301,2021-08-20,0.55227166,2021-08-20
point301,2021-09-04,0.55270374,2021-09-04
point301,2021-09-19,0.5527715,2021-09-19
point301,2021-10-04,0.5526757,2021-10-04
point301,2021-10-19,0.55228084,2021-10-19
point301,2021-11-03,0.55118114,2021-11-03
point301,2021-11-18,0.55130196,2021-11-18
point301,2021-12-03,0.5525916,2021-12-03
point301,2021-12-18,0.5527072,2021-12-18
point301,2022-01-02,0.5526792,2022-01-02
point301,2022-01-17,0.5526921,2022-01-17
point301,2022-02-01,0.5523816,2022-02-01
point301,2022-02-16,0.5512555,2022-02-16
point301,2022-03-03,0.5511919,2022-03-03
point301,2022-03-18,0.55253196,2022-03-18
point301,2022-04-02,0.55274063,2022-04-02
point301,2022-04-17,0.5527513,2022-04-17
point301,2022-05-02,0.5527511,2022-05-02
point301,2022-05-17,0.5523662,2022-05-17
point301,2022-06-01,0.55117065,2022-06-01
point301,2022-06-16,0.5512606,2022-06-16
point301,2022-07-01,0.552654,2022-07-01
point301,2022-07-16,0.55283207,2022-07-16
point301,2022-07-31,0.5528483,2022-07-31
point301,2022-08-15,0.552786,2022-08-15
point301,2022-08-30,0.5524267,2022-08-30
point301,2022-09-14,0.55125225,2022-09-14
point301,2022-09-29,0.551348,2022-09-29
point301,2022-10-14,0.5527419,2022-10-14
point301,2022-10-29,0.5528916,2022-10-29
point301,2022-11-13,0.55287933,2022-11-13
point301,2022-11-28,0.5528226,2022-11-28
point301,2022-12-13,0.55250454,2022-12-13
point301,2022-12-28,0.5513371,2022-12-28
point301,2023-01-12,0.5513955,2023-01-12
point301,2023-01-27,0.5527698,2023-01-27
point301,2023-02-11,0.552904,2023-02-11
point301,2023-02-26,0.55287266,2023-02-26
point301,2023-03-13,0.5528408,2023-03-13
point301,2023-03-28,0.5525335,2023-03-28
point301,2023-04-12,0.5513684,2023-04-12
point301,2023-04-27,0.5514209,2023-04-27
point301,2023-05-12,0.55279803,2023-05-12
point301,2023-05-27,0.5529293,2023-05-27
point301,2023-06-11,0.5529023,2023-06-11
point301,2023-06-26,0.55286926,2023-06-26
point301,2023-07-11,0.5525551,2023-07-11
point301,2023-07-26,0.55140543,2023-07-26
point301,2023-08-10,0.5514739,2023-08-10
point301,2023-08-25,0.5528396,2023-08-25
point301,2023-09-09,0.5529654,2023-09-09
point301,2023-09-24,0.55293566,2023-09-24
point301,2023-10-09,0.5529021,2023-10-09
point301,2023-10-24,0.55259734,2023-10-24
point301,2023-11-08,0.5514568,2023-11-08
point301,2023-11-23,0.55151933,2023-11-23
point301,2023-12-08,0.55287224,2023-12-08
point301,2023-12-23,0.5529938,2023-12-23
point301,2024-01-07,0.55296254,2024-01-07
point301,2024-01-22,0.55293137,2024-01-22
point301,2024-02-06,0.5526363,2024-02-06
point301,2024-02-21,0.5515009,2024-02-21
point301,2024-03-07,0.5515561,2024-03-07
point301,2024-03-22,0.5528998,2024-03-22
point301,2024-04-06,0.55301785,2024-04-06
point301,2024-04-21,0.5529862,2024-04-21
point301,2024-05-06,0.552958,2024-05-06
point301,2024-05-21,0.552666,2024-05-21
point301,2024-06-05,0.55154127,2024-06-05
point301,2024-06-20,0.5515966,2024-06-20
point301,2024-07-05,0.5529287,2024-07-05
point301,2024-07-20,0.553045,2024-07-20
point301,2024-08-04,0.5530142,2024-08-04
point301,2024-08-19,0.5529862,2024-08-19
point301,2024-09-03,0.5526968,2024-09-03
point301,2024-09-18,0.55158395,2024-09-18
point301,2024-10-03,0.55163944,2024-10-03
point301,2024-10-18,0.5529576,2024-10-18
point301,2024-11-02,0.55307263,2024-11-02
point301,2024-11-17,0.5530421,2024-11-17
point301,2024-12-02,0.5530147,2024-12-02
point301,2024-12-17,0.5527301,2024-12-17
point301,2025-01-01,0.55162615,2025-01-01
point301,2025-01-16,0.55167866,2025-01-16
point301,2025-01-31,0.5529854,2025-01-31
point301,2025-02-15,0.55309904,2025-02-15
point301,2025-03-02,0.55306876,2025-03-02
point301,2025-03-17,0.5530424,2025-03-17
point301,2025-04-01,0.5527616,2025-04-01
point301,2025-04-16,0.55166674,2025-04-16
point301,2025-05-01,0.55171746,2025-05-01
point301,2025-05-16,0.553013,2025-05-16
point302,2020-01-13,0.63406587,2020-01-13
point302,2020-01-28,0.63179606,2020-01-28
point302,2020-02-12,0.6276328,2020-02-12
point302,2020-02-27,0.6253321,2020-02-27
point302,2020-03-13,0.6264855,2020-03-13
point302,2020-03-28,0.62881196,2020-03-28
point302,2020-04-12,0.6296212,2020-04-12
point302,2020-04-27,0.6242443,2020-04-27
point302,2020-05-12,0.61846375,2020-05-12
point302,2020-05-27,0.6166371,2020-05-27
point302,2020-06-11,0.6164303,2020-06-11
point302,2020-06-26,0.61776507,2020-06-26
point302,2020-07-11,0.6216383,2020-07-11
point302,2020-07-26,0.6213796,2020-07-26
point302,2020-08-10,0.62374026,2020-08-10
point302,2020-08-25,0.6240271,2020-08-25
point302,2020-09-09,0.6227744,2020-09-09
point302,2020-09-24,0.62439775,2020-09-24
point302,2020-10-09,0.6266115,2020-10-09
point302,2020-10-24,0.62597877,2020-10-24
point302,2020-11-08,0.6265388,2020-11-08
point302,2020-11-23,0.62702775,2020-11-23
point302,2020-12-08,0.62683165,2020-12-08
point302,2020-12-23,0.62513554,2020-12-23
point302,2021-01-07,0.62415695,2021-01-07
point302,2021-01-22,0.62529755,2021-01-22
point302,2021-02-06,0.6261427,2021-02-06
point302,2021-02-21,0.6265776,2021-02-21
point302,2021-03-08,0.6263629,2021-03-08
point302,2021-03-23,0.6260747,2021-03-23
point302,2021-04-07,0.6245602,2021-04-07
point302,2021-04-22,0.6237869,2021-04-22
point302,2021-05-07,0.6249044,2021-05-07
point302,2021-05-22,0.6263019,2021-05-22
point302,2021-06-06,0.6267862,2021-06-06
point302,2021-06-21,0.62672335,2021-06-21
point302,2021-07-06,0.62618196,2021-07-06
point302,2021-07-21,0.62490994,2021-07-21
point302,2021-08-05,0.6248312,2021-08-05
point302,2021-08-20,0.62617594,2021-08-20
point302,2021-09-04,0.62676483,2021-09-04
point302,2021-09-19,0.62695426,2021-09-19
point302,2021-10-04,0.6269813,2021-10-04
point302,2021-10-19,0.6265612,2021-10-19
point302,2021-11-03,0.6248923,2021-11-03
point302,2021-11-18,0.62470514,2021-11-18
point302,2021-12-03,0.62643963,2021-12-03
point302,2021-12-18,0.62686074,2021-12-18
point302,2022-01-02,0.6270108,2022-01-02
point302,2022-01-17,0.62698317,2022-01-17
point302,2022-02-01,0.6266397,2022-02-01
point302,2022-02-16,0.6250571,2022-02-16
point302,2022-03-03,0.6246435,2022-03-03
point302,2022-03-18,0.62636995,2022-03-18
point302,2022-04-02,0.62691116,2022-04-02
point302,2022-04-17,0.62699574,2022-04-17
point302,2022-05-02,0.62700063,2022-05-02
point302,2022-05-17,0.62661344,2022-05-17
point302,2022-06-01,0.6250627,2022-06-01
point302,2022-06-16,0.62484545,2022-06-16
point302,2022-07-01,0.62660235,2022-07-01
point302,2022-07-16,0.6270183,2022-07-16
point302,2022-07-31,0.62709767,2022-07-31
point302,2022-08-15,0.62704086,2022-08-15
point302,2022-08-30,0.62668765,2022-08-30
point302,2022-09-14,0.6251107,2022-09-14
point302,2022-09-29,0.62497026,2022-09-29
point302,2022-10-14,0.62674737,2022-10-14
point302,2022-10-29,0.6270329,2022-10-29
point302,2022-11-13,0.6270679,2022-11-13
point302,2022-11-28,0.62706006,2022-11-28
point302,2022-12-13,0.6267282,2022-12-13
point302,2022-12-28,0.62512976,2022-12-28
point302,2023-01-12,0.62499833,2023-01-12
point302,2023-01-27,0.6268255,2023-01-27
point302,2023-02-11,0.6270888,2023-02-11
point302,2023-02-26,0.62710476,2023-02-26
point302,2023-03-13,0.627088,2023-03-13
point302,2023-03-28,0.62676114,2023-03-28
point302,2023-04-12,0.62518984,2023-04-12
point302,2023-04-27,0.62508035,2023-04-27
point302,2023-05-12,0.6268927,2023-05-12
point302,2023-05-27,0.62713534,2023-05-27
point302,2023-06-11,0.62714857,2023-06-11
point302,2023-06-26,0.6271238,2023-06-26
point302,2023-07-11,0.62678975,2023-07-11
point302,2023-07-26,0.62522817,2023-07-26
point302,2023-08-10,0.6251569,2023-08-10
point302,2023-08-25,0.6269648,2023-08-25
point302,2023-09-09,0.62717783,2023-09-09
point302,2023-09-24,0.62717676,2023-09-24
point302,2023-10-09,0.6271582,2023-10-09
point302,2023-10-24,0.62682724,2023-10-24
point302,2023-11-08,0.6252674,2023-11-08
point302,2023-11-23,0.6252137,2023-11-23
point302,2023-12-08,0.6270204,2023-12-08
point302,2023-12-23,0.62721485,2023-12-23
point302,2024-01-07,0.6272057,2024-01-07
point302,2024-01-22,0.62719136,2024-01-22
point302,2024-02-06,0.6268573,2024-02-06
point302,2024-02-21,0.6253109,2024-02-21
point302,2024-03-07,0.62527394,2024-03-07
point302,2024-03-22,0.6270721,2024-03-22
point302,2024-04-06,0.62725836,2024-04-06
point302,2024-04-21,0.62724555,2024-04-21
point302,2024-05-06,0.6272269,2024-05-06
point302,2024-05-21,0.62689096,2024-05-21
point302,2024-06-05,0.6253581,2024-06-05
point302,2024-06-20,0.625334,2024-06-20
point302,2024-07-05,0.6271194,2024-07-05
point302,2024-07-20,0.6272972,2024-07-20
point302,2024-08-04,0.6272806,2024-08-04
point302,2024-08-19,0.62726116,2024-08-19
point302,2024-09-03,0.6269239,2024-09-03
point302,2024-09-18,0.6254018,2024-09-18
point302,2024-10-03,0.6253889,2024-10-03
point302,2024-10-18,0.62716395,2024-10-18
point302,2024-11-02,0.6273353,2024-11-02
point302,2024-11-17,0.6273147,2024-11-17
point302,2024-12-02,0.6272952,2024-12-02
point302,2024-12-17,0.626957,2024-12-17
point302,2025-01-01,0.6254471,2025-01-01
point302,2025-01-16,0.6254433,2025-01-16
point302,2025-01-31,0.62720674,2025-01-31
point302,2025-02-15,0.6273734,2025-02-15
point302,2025-03-02,0.62735015,2025-03-02
point302,2025-03-17,0.6273294,2025-03-17
point302,2025-04-01,0.62699014,2025-04-01
point302,2025-04-16,0.6254931,2025-04-16
point302,2025-05-01,0.6254969,2025-05-01
point302,2025-05-16,0.62724763,2025-05-16
point303,2020-01-13,0.49599686,2020-01-13
point303,2020-01-28,0.4948001,2020-01-28
point303,2020-02-12,0.4917564,2020-02-12
point303,2020-02-27,0.49015796,2020-02-27
point303,2020-03-13,0.49266094,2020-03-13
point303,2020-03-28,0.49324727,2020-03-28
point303,2020-04-12,0.49277627,2020-04-12
point303,2020-04-27,0.48806685,2020-04-27
point303,2020-05-12,0.4833861,2020-05-12
point303,2020-05-27,0.48162055,2020-05-27
point303,2020-06-11,0.48052,2020-06-11
point303,2020-06-26,0.4825545,2020-06-26
point303,2020-07-11,0.48602557,2020-07-11
point303,2020-07-26,0.48655483,2020-07-26
point303,2020-08-10,0.48885208,2020-08-10
point303,2020-08-25,0.4894541,2020-08-25
point303,2020-09-09,0.4886091,2020-09-09
point303,2020-09-24,0.49044454,2020-09-24
point303,2020-10-09,0.49232572,2020-10-09
point303,2020-10-24,0.49104992,2020-10-24
point303,2020-11-08,0.4908655,2020-11-08
point303,2020-11-23,0.4911753,2020-11-23
point303,2020-12-08,0.4912549,2020-12-08
point303,2020-12-23,0.48994726,2020-12-23
point303,2021-01-07,0.48917317,2021-01-07
point303,2021-01-22,0.49042916,2021-01-22
point303,2021-02-06,0.4911188,2021-02-06
point303,2021-02-21,0.49124968,2021-02-21
point303,2021-03-08,0.490798,2021-03-08
point303,2021-03-23,0.49052325,2021-03-23
point303,2021-04-07,0.48931688,2021-04-07
point303,2021-04-22,0.4891679,2021-04-22
point303,2021-05-07,0.49035364,2021-05-07
point303,2021-05-22,0.4911312,2021-05-22
point303,2021-06-06,0.49117872,2021-06-06
point303,2021-06-21,0.49118456,2021-06-21
point303,2021-07-06,0.49080405,2021-07-06
point303,2021-07-21,0.48999405,2021-07-21
point303,2021-08-05,0.49018106,2021-08-05
point303,2021-08-20,0.491258,2021-08-20
point303,2021-09-04,0.49149936,2021-09-04
point303,2021-09-19,0.49148405,2021-09-19
point303,2021-10-04,0.4914155,2021-10-04
point303,2021-10-19,0.4910408,2021-10-19
point303,2021-11-03,0.48984963,2021-11-03
point303,2021-11-18,0.49001154,2021-11-18
point303,2021-12-03,0.4913792,2021-12-03
point303,2021-12-18,0.49152252,2021-12-18
point303,2022-01-02,0.49154052,2022-01-02
point303,2022-01-17,0.49151203,2022-01-17
point303,2022-02-01,0.49117327,2022-02-01
point303,2022-02-16,0.48992,2022-02-16
point303,2022-03-03,0.4899109,2022-03-03
point303,2022-03-18,0.4913737,2022-03-18
point303,2022-04-02,0.49157166,2022-04-02
point303,2022-04-17,0.49157578,2022-04-17
point303,2022-05-02,0.4915466,2022-05-02
point303,2022-05-17,0.49115118,2022-05-17
point303,2022-06-01,0.48997447,2022-06-01
point303,2022-06-16,0.49010363,2022-06-16
point303,2022-07-01,0.49149913,2022-07-01
point303,2022-07-16,0.49167627,2022-07-16
point303,2022-07-31,0.4916856,2022-07-31
point303,2022-08-15,0.49159357,2022-08-15
point303,2022-08-30,0.4912394,2022-08-30
point303,2022-09-14,0.49008486,2022-09-14
point303,2022-09-29,0.49018392,2022-09-29
point303,2022-10-14,0.49154723,2022-10-14
point303,2022-10-29,0.4916784,2022-10-29
point303,2022-11-13,0.4916529,2022-11-13
point303,2022-11-28,0.49161908,2022-11-28
point303,2022-12-13,0.49128112,2022-12-13
point303,2022-12-28,0.490097,2022-12-28
point303,2023-01-12,0.49018234,2023-01-12
point303,2023-01-27,0.4915859,2023-01-27
point303,2023-02-11,0.4917197,2023-02-11
point303,2023-02-26,0.49168667,2023-02-26
point303,2023-03-13,0.49165067,2023-03-13
point303,2023-03-28,0.4913259,2023-03-28
point303,2023-04-12,0.49014798,2023-04-12
point303,2023-04-27,0.4902259,2023-04-27
point303,2023-05-12,0.49162626,2023-05-12
point303,2023-05-27,0.49175245,2023-05-27
point303,2023-06-11,0.49172178,2023-06-11
point303,2023-06-26,0.4916805,2023-06-26
point303,2023-07-11,0.49135467,2023-07-11
point303,2023-07-26,0.4902038,2023-07-26
point303,2023-08-10,0.49028644,2023-08-10
point303,2023-08-25,0.49165702,2023-08-25
point303,2023-09-09,0.49178135,2023-09-09
point303,2023-09-24,0.49174854,2023-09-24
point303,2023-10-09,0.49171042,2023-10-09
point303,2023-10-24,0.49139902,2023-10-24
point303,2023-11-08,0.49025193,2023-11-08
point303,2023-11-23,0.4903233,2023-11-23
point303,2023-12-08,0.49168476,2023-12-08
point303,2023-12-23,0.49180332,2023-12-23
point303,2024-01-07,0.49176872,2024-01-07
point303,2024-01-22,0.49173802,2024-01-22
point303,2024-02-06,0.49143165,2024-02-06
point303,2024-02-21,0.49029195,2024-02-21
point303,2024-03-07,0.49036148,2024-03-07
point303,2024-03-22,0.49171567,2024-03-22
point303,2024-04-06,0.49183324,2024-04-06
point303,2024-04-21,0.49179995,2024-04-21
point303,2024-05-06,0.49176857,2024-05-06
point303,2024-05-21,0.49146724,2024-05-21
point303,2024-06-05,0.49033818,2024-06-05
point303,2024-06-20,0.49040484,2024-06-20
point303,2024-07-05,0.4917457,2024-07-05
point303,2024-07-20,0.4918614,2024-07-20
point303,2024-08-04,0.49182862,2024-08-04
point303,2024-08-19,0.49179742,2024-08-19
point303,2024-09-03,0.49150094,2024-09-03
point303,2024-09-18,0.49038312,2024-09-18
point303,2024-10-03,0.49044666,2024-10-03
point303,2024-10-18,0.4917729,2024-10-18
point303,2024-11-02,0.49188754,2024-11-02
point303,2024-11-17,0.49185508,2024-11-17
point303,2024-12-02,0.49182582,2024-12-02
point303,2024-12-17,0.4915347,2024-12-17
point303,2025-01-01,0.4904256,2025-01-01
point303,2025-01-16,0.49048573,2025-01-16
point303,2025-01-31,0.49180076,2025-01-31
point303,2025-02-15,0.49191394,2025-02-15
point303,2025-03-02,0.49188206,2025-03-02
point303,2025-03-17,0.49185395,2025-03-17
point303,2025-04-01,0.49156654,2025-04-01
point303,2025-04-16,0.4904675,2025-04-16
point303,2025-05-01,0.49052587,2025-05-01
point303,2025-05-16,0.49182868,2025-05-16
point304,2020-01-13,0.45307305,2020-01-13
point304,2020-01-28,0.4499293,2020-01-28
point304,2020-02-12,0.44506723,2020-02-12
point304,2020-02-27,0.44110048,2020-02-27
point304,2020-03-13,0.44043833,2020-03-13
point304,2020-03-28,0.4430858,2020-03-28
point304,2020-04-12,0.44586235,2020-04-12
point304,2020-04-27,0.4436417,2020-04-27
point304,2020-05-12,0.44174874,2020-05-12
point304,2020-05-27,0.4408371,2020-05-27
point304,2020-06-11,0.44067603,2020-06-11
point304,2020-06-26,0.44063142,2020-06-26
point304,2020-07-11,0.4424004,2020-07-11
point304,2020-07-26,0.44159108,2020-07-26
point304,2020-08-10,0.44426456,2020-08-10
point304,2020-08-25,0.4448228,2020-08-25
point304,2020-09-09,0.4435965,2020-09-09
point304,2020-09-24,0.4435571,2020-09-24
point304,2020-10-09,0.44442147,2020-10-09
point304,2020-10-24,0.44350016,2020-10-24
point304,2020-11-08,0.444368,2020-11-08
point304,2020-11-23,0.44449392,2020-11-23
point304,2020-12-08,0.44473842,2020-12-08
point304,2020-12-23,0.44426608,2020-12-23
point304,2021-01-07,0.44370914,2021-01-07
point304,2021-01-22,0.44376996,2021-01-22
point304,2021-02-06,0.44430342,2021-02-06
point304,2021-02-21,0.44485262,2021-02-21
point304,2021-03-08,0.44522938,2021-03-08
point304,2021-03-23,0.4451354,2021-03-23
point304,2021-04-07,0.44453308,2021-04-07
point304,2021-04-22,0.44364512,2021-04-22
point304,2021-05-07,0.44358242,2021-05-07
point304,2021-05-22,0.4446235,2021-05-22
point304,2021-06-06,0.44539732,2021-06-06
point304,2021-06-21,0.44554004,2021-06-21
point304,2021-07-06,0.44543782,2021-07-06
point304,2021-07-21,0.44476256,2021-07-21
point304,2021-08-05,0.44428262,2021-08-05
point304,2021-08-20,0.4443604,2021-08-20
point304,2021-09-04,0.44486988,2021-09-04
point304,2021-09-19,0.4452287,2021-09-19
point304,2021-10-04,0.4453281,2021-10-04
point304,2021-10-19,0.4453138,2021-10-19
point304,2021-11-03,0.44482064,2021-11-03
point304,2021-11-18,0.44410926,2021-11-18
point304,2021-12-03,0.44429222,2021-12-03
point304,2021-12-18,0.44501856,2021-12-18
point304,2022-01-02,0.44531485,2022-01-02
point304,2022-01-17,0.4453919,2022-01-17
point304,2022-02-01,0.44535282,2022-02-01
point304,2022-02-16,0.44493833,2022-02-16
point304,2022-03-03,0.44412014,2022-03-03
point304,2022-03-18,0.44425726,2022-03-18
point304,2022-04-02,0.44518092,2022-04-02
point304,2022-04-17,0.44539186,2022-04-17
point304,2022-05-02,0.44542357,2022-05-02
point304,2022-05-17,0.4453623,2022-05-17
point304,2022-06-01,0.4449677,2022-06-01
point304,2022-06-16,0.44416445,2022-06-16
point304,2022-07-01,0.44430083,2022-07-01
point304,2022-07-16,0.44525915,2022-07-16
point304,2022-07-31,0.44543725,2022-07-31
point304,2022-08-15,0.44540662,2022-08-15
point304,2022-08-30,0.44535524,2022-08-30
point304,2022-09-14,0.44501048,2022-09-14
point304,2022-09-29,0.44426522,2022-09-29
point304,2022-10-14,0.44439068,2022-10-14
point304,2022-10-29,0.44527337,2022-10-29
point304,2022-11-13,0.4454105,2022-11-13
point304,2022-11-28,0.4454192,2022-11-28
point304,2022-12-13,0.44537872,2022-12-13
point304,2022-12-28,0.4450547,2022-12-28
point304,2023-01-12,0.44427863,2023-01-12
point304,2023-01-27,0.44440126,2023-01-27
point304,2023-02-11,0.44532755,2023-02-11
point304,2023-02-26,0.44545668,2023-02-26
point304,2023-03-13,0.44544733,2023-03-13
point304,2023-03-28,0.44541094,2023-03-28
point304,2023-04-12,0.44510472,2023-04-12
point304,2023-04-27,0.44432375,2023-04-27
point304,2023-05-12,0.44443077,2023-05-12
point304,2023-05-27,0.44537383,2023-05-27
point304,2023-06-11,0.44549325,2023-06-11
point304,2023-06-26,0.44547543,2023-06-26
point304,2023-07-11,0.44544116,2023-07-11
point304,2023-07-26,0.44514525,2023-07-26
point304,2023-08-10,0.44437215,2023-08-10
point304,2023-08-25,0.44447306,2023-08-25
point304,2023-09-09,0.44541058,2023-09-09
point304,2023-09-24,0.44552377,2023-09-24
point304,2023-10-09,0.44550374,2023-10-09
point304,2023-10-24,0.44547194,2023-10-24
point304,2023-11-08,0.44518837,2023-11-08
point304,2023-11-23,0.44442302,2023-11-23
point304,2023-12-08,0.44451264,2023-12-08
point304,2023-12-23,0.4454388,2023-12-23
point304,2024-01-07,0.44554916,2024-01-07
point304,2024-01-22,0.44553435,2024-01-22
point304,2024-02-06,0.44550487,2024-02-06
point304,2024-02-21,0.44522804,2024-02-21
point304,2024-03-07,0.44446298,2024-03-07
point304,2024-03-22,0.44454706,2024-03-22
point304,2024-04-06,0.4454743,2024-04-06
point304,2024-04-21,0.44558403,2024-04-21
point304,2024-05-06,0.4455662,2024-05-06
point304,2024-05-21,0.44553858,2024-05-21
point304,2024-06-05,0.44526944,2024-06-05
point304,2024-06-20,0.4445076,2024-06-20
point304,2024-07-05,0.44458428,2024-07-05
point304,2024-07-20,0.44550788,2024-07-20
point304,2024-08-04,0.44561633,2024-08-04
point304,2024-08-19,0.44559795,2024-08-19
point304,2024-09-03,0.44557172,2024-09-03
point304,2024-09-18,0.44530877,2024-09-18
point304,2024-10-03,0.44455135,2024-10-03
point304,2024-10-18,0.44462228,2024-10-18
point304,2024-11-02,0.44553986,2024-11-02
point304,2024-11-17,0.4456477,2024-11-17
point304,2024-12-02,0.4456295,2024-12-02
point304,2024-12-17,0.44560456,2024-12-17
point304,2025-01-01,0.44534767,2025-01-01
point304,2025-01-16,0.444594,2025-01-16
point304,2025-01-31,0.444659,2025-01-31
point304,2025-02-15,0.44557098,2025-02-15
point304,2025-03-02,0.44567847,2025-03-02
point304,2025-03-17,0.4456611,2025-03-17
point304,2025-04-01,0.4456372,2025-04-01
point304,2025-04-16,0.44538525,2025-04-16
point304,2025-05-01,0.4446352,2025-05-01
point304,2025-05-16,0.44469568,2025-05-16
point305,2020-01-13,0.75854737,2020-01-13
point305,2020-01-28,0.75836563,2020-01-28
point305,2020-02-12,0.75740296,2020-02-12
point305,2020-02-27,0.7572238,2020-02-27
point305,2020-03-13,0.7588789,2020-03-13
point305,2020-03-28,0.7600683,2020-03-28
point305,2020-04-12,0.76042825,2020-04-12
point305,2020-04-27,0.7609833,2020-04-27
point305,2020-05-12,0.76075524,2020-05-12
point305,2020-05-27,0.7599141,2020-05-27
