model,MSE,MAE,RMSE,SMAPE
XGBoost,6.188538767810541e-06,0.0018798774290805413,0.002487677384190028,0.34869069289916976
LightGBM,6.274792222196433e-06,0.0018382003930559857,0.002504953536933656,0.3399175455198703
LSTM,2.6732773606539218e-05,0.004023927926030387,0.005170374609884589,0.7351447204060532
NHiTS,0.0003757823162108469,0.016101326868607525,0.019385105524882935,2.957556150760679
Informer,0.00045923296855150697,0.018149377538107567,0.021429721616285802,3.334038518333122
Autoformer,0.0013219533236907513,0.02742134079159883,0.03635867604425045,4.924219902893877
TimeGPT,0.0036087071978876404,0.049665290132285246,0.06007251616078388,8.904492754984913
TimesFM,0.004623696214833848,0.057087270548472756,0.06799776624885444,10.083085403522015
