point,XGBoost_RMSE,LSTM_RMSE,LightGBM_RMSE,TimesFM_RMSE,Informer_RMSE,Autoformer_RMSE,NHiTS_RMSE,LSTM_minus_XGBoost,LSTM_over_XGBoost
point930,0.002967576276207357,0.006054468997141794,0.002789394469823942,0.12801998850775273,0.020340110328923265,0.03353533185937867,0.020797730185109577,0.003086892720934437,2.0402066985383676
point851,0.003705199271545069,0.006467259679900945,0.0037336256018066,0.06618755072490062,0.02780723227773903,0.04552209335994005,0.021925455815069612,0.002762060408355876,1.7454552929359979
point977,0.002487677384190028,0.00517037493765503,0.002504953536933656,0.06799776624885444,0.021429721527673737,0.03635867888706462,0.01938510641933804,0.002682697553465002,2.0783944777222274
point190,0.003968326674419817,0.006150259118914245,0.0038087268635235974,0.1044982684016481,0.02126375811723946,0.027998115981572584,0.022108893629139315,0.0021819324444944275,1.5498369019262845
point512,0.003673445207100722,0.0058251833256758615,0.003494004073170787,0.06981566589179336,0.020958557159891804,0.04019418074299314,0.017253240318271294,0.0021517381185751396,1.5857547880163987
point480,0.0019081125061831546,0.0040413742958168705,0.002091855490622855,0.04014008703001847,0.014729967379587913,0.026046453280087402,0.012868186453258901,0.002133261789633716,2.1179958114214834
point370,0.002765991169181409,0.004859092001097041,0.0026822844758753856,0.04647909127725101,0.017324623100441666,0.030874685658996544,0.021721870548212306,0.0020931008319156315,1.7567272286466054
point329,0.0021740796200616134,0.004175950554540329,0.002043080968577354,0.06329518392476034,0.02140074566656082,0.03678904570341606,0.019391896006544125,0.0020018709344787155,1.9207900741105253
point70,0.005027928670456447,0.007005393472068997,0.005273706246806937,0.09314855186326287,0.01707476188468793,0.039178045615152396,0.015028979509195557,0.0019774648016125497,1.3932961128171755
point699,0.003365943411792532,0.005287670026682048,0.0032373468271426494,0.054776073756080665,0.024356993447932067,0.0379528014998818,0.020063753476050116,0.0019217266148895155,1.5709325380090393
point526,0.003159998845628374,0.0050304712701803485,0.0029796907994738015,0.032590212326636274,0.022978985787657898,0.029084104369305634,0.014930117104098506,0.0018704724245519745,1.5919218695727169
point413,0.0032068696780593146,0.004957953192752626,0.0030179069586305984,0.04599188063266507,0.016962821052963886,0.02621191007871659,0.020703253635924814,0.001751083514693311,1.54604137070921
point66,0.00379548778010645,0.005418201429384263,0.003598020928965748,0.06197557427576888,0.021136348605325046,0.036585113176937,0.01985283425793136,0.0016227136492778125,1.427537577062704
point697,0.0014748853063160376,0.003083379311844255,0.0014234014390795567,0.031025605902145568,0.012786412844396269,0.022884269737578348,0.0182834012185401,0.0016084940055282174,2.0905892130323727
point304,0.0034021925272397055,0.005008117218224083,0.003686029146065988,0.04828660793437637,0.022076663054091474,0.040965719474081064,0.016792351027120574,0.0016059246909843777,1.4720264000718706
point739,0.0028475867300140644,0.004428962083984947,0.002666972422109301,0.031574830061938404,0.018091989631630893,0.024144994696665784,0.013438527506327581,0.0015813753539708829,1.5553387846989553
point949,0.005026357077661501,0.0065445865286761305,0.00494009584429488,0.07056793848464846,0.03625187536852874,0.05653038544979604,0.02361535486977111,0.0015182294510146296,1.3020536399536862
point341,0.0034879191507503253,0.0049860779591547385,0.0033540350018338876,0.04728844849534268,0.021925352431521168,0.04710567620266738,0.01928556742319541,0.0014981588084044132,1.4295279631358793
point736,0.0033935382178485515,0.004857024914287231,0.003305201974835531,0.049108100019533474,0.02577391296961075,0.039005872236624946,0.02250779014477461,0.0014634866964386792,1.431256877774757
point705,0.0030732536120338153,0.00453553176134637,0.003050468102012911,0.0679721553978577,0.02254844627585995,0.039356290346232024,0.015834445718050136,0.001462278149312555,1.4758078355742499
point734,0.0030966549650275994,0.004484829233343694,0.0029446239244699597,0.07341011528425298,0.025424360652915777,0.038434777743917306,0.021434828631776558,0.0013881742683160949,1.4482818667218622
point776,0.005357542871969907,0.006744108654574688,0.005392334820658178,0.09044462605120855,0.027004397340111574,0.035366663555703295,0.018023171785053933,0.0013865657826047815,1.2588062878337654
point517,0.0022992881735836228,0.003684759046666325,0.0023501139984545,0.09944607667436293,0.0183923603887407,0.02961901298454302,0.013174747190062728,0.0013854708730827022,1.6025651281993663
point340,0.005817210470185319,0.007120867331179828,0.005953588853457643,0.06654733184155355,0.031909341150267695,0.044772243793864935,0.018396801194902133,0.0013036568609945086,1.2241034371501738
point701,0.0018987554623452834,0.0031763592083467016,0.0018125866913299715,0.05218505144040537,0.015052215864204218,0.024030187861272916,0.013083542259245257,0.0012776037460014182,1.6728637633112386
point201,0.0025245672240397604,0.0037520148035724344,0.0025182236820899067,0.026876830146500746,0.01756419044116661,0.026479102457168013,0.022075780832074066,0.001227447579532674,1.4862011864229694
point248,0.0021060657689835126,0.0033292967869700354,0.0019489131656893132,0.05483220657013699,0.014284011995180116,0.028444123508345777,0.019136438197375927,0.0012232310179865228,1.580813304124359
point125,0.0017117156657719416,0.0028877067497537386,0.0018321120636182267,0.04144122347315994,0.010841635694270805,0.019244751606686022,0.018175024930358087,0.001175991083981797,1.6870247830859537
point907,0.0018261068619658926,0.0029935452273969396,0.0017210365969551956,0.016655929288711516,0.00983160750899866,0.015951884684289055,0.013207514275359098,0.001167438365431047,1.639304517028233
point38,0.0037941276382516256,0.0049487381827533865,0.003554699607323406,0.054155704589575346,0.01929039153500543,0.03813276825508907,0.01848646383844937,0.0011546105445017609,1.304315156101026
point487,0.003275358110388688,0.0043792887624377694,0.003381681278122613,0.06432416032549805,0.018158411006606083,0.030317783039518386,0.013940604796612953,0.0011039306520490813,1.3370412073561255
point478,0.0011236430578163961,0.0022275132417363306,0.0011203196281840612,0.054839689072873225,0.015136787840464848,0.02403887686951021,0.015151991043105691,0.0011038701839199345,1.9824028869676045
point742,0.005921713836420139,0.007019303177349991,0.006004593516119644,0.0671516555557597,0.024850890872828296,0.039976014703228285,0.018487445004799315,0.0010975893409298516,1.1853499461894597
point359,0.0020193645748666127,0.0031148049819991943,0.002089194050828252,0.12904571068640788,0.015807655290635627,0.027136396800936494,0.010899863239544455,0.0010954404071325816,1.5424678736898907
point267,0.0021040275416544106,0.0031958620533306856,0.0019925343904660733,0.04778386690734895,0.018266609841414476,0.0292766869463228,0.015434646783539346,0.001091834511676275,1.5189259598844216
point183,0.0025111725669796584,0.003589175519438508,0.0025362476416458443,0.045470813606172125,0.01712612566000675,0.025928774306942386,0.02067545582560054,0.0010780029524588494,1.4292827050732837
point617,0.0019420608741195207,0.003015063443721868,0.001956508499818261,0.026155476761994777,0.011375501529093729,0.019186513712361512,0.011784179632688463,0.0010730025696023473,1.5525071762175418
point891,0.0014703626905768887,0.002536338893682853,0.0014629593987618651,0.018672713499147113,0.012494579910379559,0.016476847534412736,0.01665271677462794,0.0010659762031059643,1.7249750078245896
