point,model,RMSE
point834,LSTM,0.0664024282142006
point834,XGBoost,0.06651676968187703
point834,LightGBM,0.06671061954886279
point834,NHiTS,0.06920798141607942
point834,Informer,0.07456716968308488
point834,Autoformer,0.08795582115569074
point834,TimesFM,0.13456518243362842
