point,XGBoost_RMSE,LSTM_RMSE,LightGBM_RMSE,TimesFM_RMSE,Informer_RMSE,Autoformer_RMSE,NHiTS_RMSE,LSTM_minus_XGBoost,LSTM_over_XGBoost
point977,0.002487677384190028,0.00517037493765503,0.002504953536933656,0.06799776624885444,0.021429721527673737,0.03635867888706462,0.01938510641933804,0.002682697553465002,2.0783944777222274
point480,0.0019081125061831546,0.0040413742958168705,0.002091855490622855,0.04014008703001847,0.014729967379587913,0.026046453280087402,0.012868186453258901,0.002133261789633716,2.1179958114214834
point329,0.0021740796200616134,0.004175950554540329,0.002043080968577354,0.06329518392476034,0.02140074566656082,0.03678904570341606,0.019391896006544125,0.0020018709344787155,1.9207900741105253
point697,0.0014748853063160376,0.003083379311844255,0.0014234014390795567,0.031025605902145568,0.012786412844396269,0.022884269737578348,0.0182834012185401,0.0016084940055282174,2.0905892130323727
point517,0.0022992881735836228,0.003684759046666325,0.0023501139984545,0.09944607667436293,0.0183923603887407,0.02961901298454302,0.013174747190062728,0.0013854708730827022,1.6025651281993663
point701,0.0018987554623452834,0.0031763592083467016,0.0018125866913299715,0.05218505144040537,0.015052215864204218,0.024030187861272916,0.013083542259245257,0.0012776037460014182,1.6728637633112386
point201,0.0025245672240397604,0.0037520148035724344,0.0025182236820899067,0.026876830146500746,0.01756419044116661,0.026479102457168013,0.022075780832074066,0.001227447579532674,1.4862011864229694
point248,0.0021060657689835126,0.0033292967869700354,0.0019489131656893132,0.05483220657013699,0.014284011995180116,0.028444123508345777,0.019136438197375927,0.0012232310179865228,1.580813304124359
point125,0.0017117156657719416,0.0028877067497537386,0.0018321120636182267,0.04144122347315994,0.010841635694270805,0.019244751606686022,0.018175024930358087,0.001175991083981797,1.6870247830859537
point907,0.0018261068619658926,0.0029935452273969396,0.0017210365969551956,0.016655929288711516,0.00983160750899866,0.015951884684289055,0.013207514275359098,0.001167438365431047,1.639304517028233
point478,0.0011236430578163961,0.0022275132417363306,0.0011203196281840612,0.054839689072873225,0.015136787840464848,0.02403887686951021,0.015151991043105691,0.0011038701839199345,1.9824028869676045
point359,0.0020193645748666127,0.0031148049819991943,0.002089194050828252,0.12904571068640788,0.015807655290635627,0.027136396800936494,0.010899863239544455,0.0010954404071325816,1.5424678736898907
point267,0.0021040275416544106,0.0031958620533306856,0.0019925343904660733,0.04778386690734895,0.018266609841414476,0.0292766869463228,0.015434646783539346,0.001091834511676275,1.5189259598844216
point183,0.0025111725669796584,0.003589175519438508,0.0025362476416458443,0.045470813606172125,0.01712612566000675,0.025928774306942386,0.02067545582560054,0.0010780029524588494,1.4292827050732837
point617,0.0019420608741195207,0.003015063443721868,0.001956508499818261,0.026155476761994777,0.011375501529093729,0.019186513712361512,0.011784179632688463,0.0010730025696023473,1.5525071762175418
point891,0.0014703626905768887,0.002536338893682853,0.0014629593987618651,0.018672713499147113,0.012494579910379559,0.016476847534412736,0.01665271677462794,0.0010659762031059643,1.7249750078245896
point223,0.002487742415018979,0.0035405848116467084,0.002223799412433384,0.05323366626195145,0.017366628967389754,0.029396642487147566,0.022522001240162882,0.0010528423966277294,1.4232119813818012
point189,0.0018324444997051645,0.002812335006593125,0.0018358925850847439,0.025551161623523368,0.01217876362197585,0.01668214056432333,0.013029583293999213,0.0009798905068879604,1.5347449852072585
point957,0.00224543745221461,0.003199252735725175,0.0022188576961555163,0.05006696134941044,0.008923648278219856,0.015668065975893215,0.01937513620593008,0.0009538152835105651,1.424779270769642
point308,0.0014899515203213001,0.002432016615883691,0.0013558850806737036,0.03588060824786685,0.011618610403157821,0.019630267070923784,0.016919261617307536,0.0009420650955623906,1.6322790256687274
point679,0.002350527389086684,0.003287541612632709,0.002285415646082202,0.06046256193431411,0.016207285454109023,0.024516254162915634,0.021002215853828905,0.0009370142235460249,1.39863999368674
point204,0.0016435569319813506,0.0025751849253357172,0.0015432033386440385,0.048051338990802564,0.014710403889373357,0.029179512498543753,0.01280230258313756,0.0009316279933543666,1.5668364601348277
point680,0.001226440585452584,0.0021127496092729946,0.0012586777073784348,0.02521489393677367,0.01242713231492014,0.019008825479249515,0.013155653228101145,0.0008863090238204105,1.7226677218067947
point850,0.0024628868228396376,0.003345858368079804,0.0022462661213008576,0.03309119630652976,0.013361574590928862,0.020627180066855308,0.014184646321734098,0.0008829715452401666,1.3585108081507886
point465,0.0019667947385031952,0.002832796814851504,0.0020293085661392284,0.023125299855826623,0.011337294309963856,0.016569090057147254,0.0102766176472376,0.0008660020763483086,1.4403113651846398
point376,0.0011978234296416593,0.002055137901503675,0.0012183968839923555,0.027662445815895328,0.011750898639914721,0.017393122306956266,0.014042249492222767,0.0008573144718620157,1.7157269182140558
point67,0.001818279607268635,0.0026641901502560523,0.0017484493270840562,0.021902751338164866,0.01242919368308685,0.01811658600314798,0.012830060030182843,0.0008459105429874172,1.4652257769409396
point164,0.0025534084445271543,0.0033729052423377257,0.0024850974943452227,0.03619244185770794,0.014017086565237574,0.022174894558673258,0.01292245293826711,0.0008194967978105714,1.3209423073566782
point982,0.0017543994386135158,0.002571623917570347,0.0017659784825425466,0.03976000314021438,0.011633295381078544,0.022194852063548855,0.011413350181577403,0.0008172244789568311,1.4658143755464692
point203,0.0016242059567865442,0.0024030992037903927,0.0014550622082640761,0.017930249841898047,0.012744157151866772,0.016832984092195167,0.011590892515676937,0.0007788932470038485,1.4795532510820681
point513,0.0025953205316382334,0.0033229452911401835,0.0026467035161958554,0.025399928060593942,0.011829234519486385,0.019368813016641877,0.011217298027666842,0.0007276247595019501,1.280360267886701
point779,0.002203327902441331,0.0029278554771134794,0.0021314274159978915,0.02850427395998827,0.015966177140141345,0.02399527323162665,0.01842331438135115,0.0007245275746721484,1.3288332952482276
point800,0.0013708816894185607,0.0020875828573605876,0.001320594934495893,0.025185455316262036,0.012169626178545839,0.018472364398452394,0.01374125511462753,0.000716701167942027,1.5228030788317009
point941,0.0012411038852142937,0.0019549284715143418,0.0010264339058272235,0.01958971173331015,0.01421495130446492,0.020999882066754887,0.01228059386200629,0.0007138245863000481,1.5751529705160792
point804,0.0024491160990101064,0.0031593320423339965,0.0022863655827990137,0.05202141551395619,0.014287429305421505,0.020116828597209806,0.01440960462053455,0.0007102159433238901,1.2899886794304884
point379,0.0018401394900540418,0.002541482310606685,0.001956707115616371,0.014780962737449605,0.015227499217816824,0.02181569169537983,0.010161068173510587,0.0007013428205526434,1.3811356825628724
point121,0.0018787515770201256,0.002573972369084095,0.001718098353593042,0.037205116340590656,0.012410925920177035,0.015350980128075977,0.01379291505100125,0.0006952207920639696,1.3700440231521478
point54,0.0023468671883195855,0.003038380117411032,0.002217298829690088,0.03136531828938108,0.01677118059205601,0.026317996097778157,0.019317478739930057,0.0006915129290914466,1.2946536269854225
point728,0.0024972542801139225,0.003186698148448632,0.002500085774894088,0.03107548451591442,0.0135504647143497,0.01914133209645342,0.016957063724987745,0.0006894438683347093,1.276080763510898
point600,0.002122038419935525,0.0027991397746198344,0.0019407362496643105,0.025916845346902313,0.008353382714098091,0.012876083128408235,0.011855835287458873,0.0006771013546843095,1.3190806294189916
point196,0.0015231506609687442,0.0021983428108387493,0.0015131628542843297,0.018132904520211435,0.01303981166289489,0.01878054089020854,0.010409486111906119,0.0006751921498700051,1.443286516017118
point717,0.0019327887508253918,0.0026040959717431437,0.0018202596696691544,0.09085896475759034,0.011074554264115827,0.024816983394281542,0.013359489921965093,0.0006713072209177519,1.3473257078048866
